[Header],,,,,,,,,,,
Institute Name,"BHK Lab",,,,,,,,,,
Investigator Name,Rene Quevedo,,,,,,,,,,
Project Name,InfiniumOmni2.5-8v1.3_A1,,,,,,,,,,
Date,5/30/2017,,,,,,,,,,
,,,,,,,,,,,
[Manifests],,,,,,,,,,,
A,InfiniumOmni2-5-8v1-3_A1,,,,,,,,,,
,,,,,,,,,,,
[Data],,,,,,,,,,,

Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID
Unk1,5495348048,R02C01,_ega-box-147_5495348048_R02C01
Unk2,5495348048,R04C01,_ega-box-147_5495348048_R04C01
Unk3,5636622001,R02C01,_ega-box-147_5636622001_R02C01
Unk4,5636622018,R01C01,_ega-box-147_5636622018_R01C01
Unk5,5636622018,R02C01,_ega-box-147_5636622018_R02C01
Unk6,5636622199,R04C01,_ega-box-147_5636622199_R04C01
Unk7,5636622201,R01C01,_ega-box-147_5636622201_R01C01
Unk8,5636622201,R03C01,_ega-box-147_5636622201_R03C01
Unk9,5745167002,r02c01,_ega-box-147_5745167002_r02c01
Unk10,5745167002,r04c01,_ega-box-147_5745167002_r04c01
Unk11,5745167004,r01c01,_ega-box-147_5745167004_r01c01
Unk12,5745167004,r02c01,_ega-box-147_5745167004_r02c01
Unk13,5745167004,r03c01,_ega-box-147_5745167004_r03c01
Unk14,5745167004,r04c01,_ega-box-147_5745167004_r04c01
Unk15,5745167005,r01c01,_ega-box-147_5745167005_r01c01
Unk16,5745167005,r02c01,_ega-box-147_5745167005_r02c01
Unk17,5745167005,r04c01,_ega-box-147_5745167005_r04c01
Unk18,5745167006,r01c01,_ega-box-147_5745167006_r01c01
Unk19,5745167006,r02c01,_ega-box-147_5745167006_r02c01
Unk20,5745167006,r03c01,_ega-box-147_5745167006_r03c01
Unk21,5745167006,r04c01,_ega-box-147_5745167006_r04c01
Unk22,5745167007,r01c01,_ega-box-147_5745167007_r01c01
Unk23,5745167007,r02c01,_ega-box-147_5745167007_r02c01
Unk24,5745167007,r03c01,_ega-box-147_5745167007_r03c01
Unk25,5745167007,r04c01,_ega-box-147_5745167007_r04c01
Unk26,5745167008,r02c01,_ega-box-147_5745167008_r02c01
Unk27,5745167008,r04c01,_ega-box-147_5745167008_r04c01
Unk28,5745167009,r02c01,_ega-box-147_5745167009_r02c01
Unk29,5745167009,r04c01,_ega-box-147_5745167009_r04c01
Unk30,5745167011,r01c01,_ega-box-147_5745167011_r01c01
Unk31,5745167011,r02c01,_ega-box-147_5745167011_r02c01
Unk32,5745167011,r03c01,_ega-box-147_5745167011_r03c01
Unk33,5745167011,r04c01,_ega-box-147_5745167011_r04c01
Unk34,5745167012,r02c01,_ega-box-147_5745167012_r02c01
Unk35,5745167012,r03c01,_ega-box-147_5745167012_r03c01
Unk36,5745167012,r04c01,_ega-box-147_5745167012_r04c01
Unk37,5745167013,r02c01,_ega-box-147_5745167013_r02c01
Unk38,5745167013,r03c01,_ega-box-147_5745167013_r03c01
Unk39,5745167014,r01c01,_ega-box-147_5745167014_r01c01
Unk40,5745167014,r04c01,_ega-box-147_5745167014_r04c01
Unk41,5745167015,r02c01,_ega-box-147_5745167015_r02c01
Unk42,5745167016,r01c01,_ega-box-147_5745167016_r01c01
Unk43,5745167016,r02c01,_ega-box-147_5745167016_r02c01
Unk44,5745167016,r04c01,_ega-box-147_5745167016_r04c01
Unk45,5745167019,r01c01,_ega-box-147_5745167019_r01c01
Unk46,5745167019,r02c01,_ega-box-147_5745167019_r02c01
Unk47,5745167019,r04c01,_ega-box-147_5745167019_r04c01
Unk48,5745167021,r02c01,_ega-box-147_5745167021_r02c01
Unk49,5745167021,r04c01,_ega-box-147_5745167021_r04c01
Unk50,5745167024,r01c01,_ega-box-147_5745167024_r01c01
Unk51,5745167024,r02c01,_ega-box-147_5745167024_r02c01
Unk52,5745167024,r03c01,_ega-box-147_5745167024_r03c01
Unk53,5745167024,r04c01,_ega-box-147_5745167024_r04c01
Unk54,5745167025,r03c01,_ega-box-147_5745167025_r03c01
Unk55,5745167027,r02c01,_ega-box-147_5745167027_r02c01
Unk56,5745167027,r04c01,_ega-box-147_5745167027_r04c01
Unk57,5745167033,r01c01,_ega-box-147_5745167033_r01c01
Unk58,5745167033,r02c01,_ega-box-147_5745167033_r02c01
Unk59,5745167033,r04c01,_ega-box-147_5745167033_r04c01
Unk60,5745167038,r02c01,_ega-box-147_5745167038_r02c01
Unk61,5745167038,r04c01,_ega-box-147_5745167038_r04c01
Unk62,5745167040,r02c01,_ega-box-147_5745167040_r02c01
Unk63,5745167041,r02c01,_ega-box-147_5745167041_r02c01
Unk64,5745167041,r03c01,_ega-box-147_5745167041_r03c01
Unk65,5745167041,r04c01,_ega-box-147_5745167041_r04c01
Unk66,5745167042,r01c01,_ega-box-147_5745167042_r01c01
Unk67,5745167042,r02c01,_ega-box-147_5745167042_r02c01
Unk68,5745167042,r03c01,_ega-box-147_5745167042_r03c01
Unk69,5745167043,r01c01,_ega-box-147_5745167043_r01c01
Unk70,5745167043,r02c01,_ega-box-147_5745167043_r02c01
Unk71,5745167043,r04c01,_ega-box-147_5745167043_r04c01
Unk72,5745167056,r02c01,_ega-box-147_5745167056_r02c01
Unk73,5745167057,r02c01,_ega-box-147_5745167057_r02c01
Unk74,5745167057,r04c01,_ega-box-147_5745167057_r04c01
Unk75,5745781005,r01c01,_ega-box-147_5745781005_r01c01
Unk76,5745781005,r02c01,_ega-box-147_5745781005_r02c01
Unk77,5745781005,r03c01,_ega-box-147_5745781005_r03c01
Unk78,5745781005,r04c01,_ega-box-147_5745781005_r04c01
Unk79,5745781018,r01c01,_ega-box-147_5745781018_r01c01
Unk80,5745781018,r02c01,_ega-box-147_5745781018_r02c01
Unk81,5745781018,r03c01,_ega-box-147_5745781018_r03c01
Unk82,5745781018,r04c01,_ega-box-147_5745781018_r04c01
Unk83,5745781021,r02c01,_ega-box-147_5745781021_r02c01
Unk84,5745781021,r03c01,_ega-box-147_5745781021_r03c01
Unk85,5745781025,r01c01,_ega-box-147_5745781025_r01c01
Unk86,5745781025,r02c01,_ega-box-147_5745781025_r02c01
Unk87,5745781025,r04c01,_ega-box-147_5745781025_r04c01
Unk88,5745781026,r02c01,_ega-box-147_5745781026_r02c01
Unk89,5745781026,r04c01,_ega-box-147_5745781026_r04c01
Unk90,5745781027,r01c01,_ega-box-147_5745781027_r01c01
Unk91,5745781027,r02c01,_ega-box-147_5745781027_r02c01
Unk92,5745781027,r03c01,_ega-box-147_5745781027_r03c01
Unk93,5745781027,r04c01,_ega-box-147_5745781027_r04c01
Unk94,5745781044,r01c01,_ega-box-147_5745781044_r01c01
Unk95,5745781051,r02c01,_ega-box-147_5745781051_r02c01
Unk96,5745781059,r01c01,_ega-box-147_5745781059_r01c01
Unk97,5745781060,r02c01,_ega-box-147_5745781060_r02c01
Unk98,5745781060,r03c01,_ega-box-147_5745781060_r03c01
Unk99,5745781060,r04c01,_ega-box-147_5745781060_r04c01
Unk100,5745896012,r01c01,_ega-box-147_5745896012_r01c01
Unk101,5745896025,r01c01,_ega-box-147_5745896025_r01c01
Unk102,5745896025,r02c01,_ega-box-147_5745896025_r02c01
Unk103,5745896025,r03c01,_ega-box-147_5745896025_r03c01
Unk104,5745896025,r04c01,_ega-box-147_5745896025_r04c01
Unk105,5745896026,r04c01,_ega-box-147_5745896026_r04c01
Unk106,5745896050,r01c01,_ega-box-147_5745896050_r01c01
Unk107,5745896050,r04c01,_ega-box-147_5745896050_r04c01
Unk108,5745896053,r02c01,_ega-box-147_5745896053_r02c01
Unk109,5745896053,r03c01,_ega-box-147_5745896053_r03c01
Unk110,5745896053,r04c01,_ega-box-147_5745896053_r04c01
Unk111,5745896058,r02c01,_ega-box-147_5745896058_r02c01
Unk112,5745968008,r01c01,_ega-box-147_5745968008_r01c01
Unk113,5745968008,r02c01,_ega-box-147_5745968008_r02c01
Unk114,5745968008,r03c01,_ega-box-147_5745968008_r03c01
Unk115,5745968008,r04c01,_ega-box-147_5745968008_r04c01
Unk116,5745968009,r01c01,_ega-box-147_5745968009_r01c01
Unk117,5745968009,r04c01,_ega-box-147_5745968009_r04c01
Unk118,5745968010,r01c01,_ega-box-147_5745968010_r01c01
Unk119,5745968010,r02c01,_ega-box-147_5745968010_r02c01
